Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
M,1.35,1.0875,0.425,24.9192105,9.6104805,5.896696,7.2291225,10
M,1.2625,1.0125,0.3375,21.9708625,8.788345,4.37999775,8.221355,12
I,1.35,1.0625,0.3375,21.92833825,10.47514025,4.8477645,5.8116475,9
M,1.325,1.0375,0.325,19.901349,8.77417025,4.1673765,5.6982495,10
I,1.2375,0.9125,0.3,15.989118,6.25106475,3.4869885,4.0539785,8
M,1.4625,1.1375,0.35,24.81998725,10.2341695,5.59902625,8.221355,10
F,1.2875,1.0375,0.3375,20.87940675,8.83086925,4.309124,6.0951425,12
I,0.5375,0.4,0.1625,1.80019325,0.793786,0.226796,0.56699,3
I,1.3375,1.0875,0.3375,22.94892025,8.8733935,4.5642695,7.2291225,9
F,1.4625,1.1125,0.35,25.8830935,12.20445975,7.1724235,7.7961125,10
I,0.6375,0.4875,0.1625,2.28213475,0.72291225,0.623689,0.7087375,6
F,1.6125,1.2875,0.4875,39.179009,17.13727275,9.00096625,11.24057675,12
M,0.625,0.45,0.125,1.82854275,0.63786375,0.396893,0.60951425,5
I,1.225,0.9625,0.3,17.633389,8.1930055,3.10427025,5.5281525,8
I,0.5,0.4625,0.1,1.304077,0.5953395,0.1984465,0.1984465,5
I,0.9875,0.7375,0.25,8.40562675,3.9405805,1.77184375,2.93417325,7
I,1.425,1.0875,0.35,27.79668475,12.74310025,4.60679375,7.7961125,10
F,1.7375,1.3625,0.5,47.18774275,24.79163775,10.8578585,13.7495075,11
F,1.3125,1.0625,0.3125,21.47474625,9.48290775,4.89028875,5.2446575,10
F,1.4625,1.125,0.375,25.95396725,12.0485375,6.27941425,6.7755305,10
F,1.3875,1.1375,0.3625,24.45144375,9.48290775,4.77689075,7.654365,13
I,1.2125,0.8875,0.2875,15.83319575,8.85921875,3.7137845,3.96893,7
F,1.525,1.2125,0.4,32.78619675,14.628342,6.23689,9.865626,10
I,0.8375,0.6375,0.2,6.59125875,2.82077525,1.077281,1.5592225,7
M,1.25,1.0125,0.2625,21.885814,8.164656,4.252425,5.953395,9
I,0.8125,0.525,0.2125,5.34388075,2.2963095,1.0489315,1.5592225,4
F,1.2375,0.95,0.325,19.43358225,8.3631025,4.43669675,4.5642695,9
M,1.45,1.0875,0.4375,24.76328825,10.829509,5.06038575,11.1980525,14
F,1.5625,1.2,0.4625,31.59551775,14.33067225,7.47009325,10.4042665,13
F,1.4625,1.175,0.4,27.8108595,14.16057525,6.36446275,7.10154975,10
I,0.925,0.675,0.25,6.2085405,2.7499015,1.14815475,1.8427175,7
M,1.575,1.2125,0.4125,30.57493575,12.37455675,6.6054335,8.0796075,11
F,1.3125,1.0875,0.3625,27.62658775,10.489315,4.932813,7.2291225,13
F,1.4875,1.1875,0.3375,29.95124675,13.25339125,6.747181,7.7961125,11
F,1.0625,0.775,0.2625,10.375917,4.46504625,2.22543575,2.83495,10
F,1.475,1.175,0.375,26.2232875,11.963489,7.0023265,6.520385,11
M,0.925,0.7,0.2375,6.293589,2.778251,1.60174675,1.984465,8
I,1.0375,0.8125,0.25,8.06543275,3.44446425,1.63009625,2.83495,6
F,1.5375,1.25,0.4625,31.808139,14.13222575,6.4353365,8.9300925,11
M,1.7125,1.3,0.4375,44.9906565,20.9502805,10.70193625,11.283101,11
M,1.4,1.1,0.3875,24.5790165,9.70970375,5.6982495,7.654365,12
I,1.0875,0.75,0.2375,10.1774705,5.499803,1.8994165,3.118445,7
F,1.3125,1.025,0.3625,19.80212575,7.15824875,3.855532,6.6621325,9
M,1.5,1.2125,0.4,32.7436725,13.70698325,6.7755305,9.355335,9
I,1.0875,0.8125,0.275,12.417081,4.26659975,2.50893075,4.2807745,9
F,1.7125,1.375,0.425,54.7995835,27.68328675,10.149121,13.93377925,11
M,1.4375,1.15,0.35,28.0943545,13.42348825,6.56290925,6.80388,13
I,1.175,0.8625,0.275,10.19164525,4.72019175,2.45223175,3.2601925,6
F,0.9375,0.6875,0.2,5.42892925,2.097863,1.587572,1.5592225,19
M,1.6125,1.25,0.45,42.2124055,21.50309575,8.51902475,10.9145575,11
M,1.2875,1.0375,0.325,21.659018,7.824462,5.556502,7.087375,13
I,1.2125,0.8875,0.2625,14.118051,6.16601625,2.721552,3.2034935,7
M,1.725,1.3625,0.4875,47.4854125,17.463292,10.999606,13.60776,10
M,1.5125,1.2,0.4125,32.2333815,14.58581775,7.6827145,8.0796075,9
I,0.8375,0.625,0.2,4.7343665,1.984465,0.92135875,1.63009625,6
F,1.4875,1.1625,0.4,27.08794725,13.02659525,6.690482,7.5126175,10
I,1.3,0.975,0.3,15.6205745,7.654365,3.7137845,4.3941725,10
I,0.925,0.6875,0.2,6.23689,2.664853,0.83631025,1.7860185,7
I,1.1,0.825,0.2625,10.886208,5.9817445,2.05533875,3.118445,7
I,0.925,0.7125,0.225,6.08096775,2.948348,1.190679,1.984465,6
M,1.5875,1.225,0.3625,36.85435,14.6566915,8.71747125,9.31281075,12
F,1.3625,1.05,0.375,20.921931,8.0229085,4.1106775,6.3786375,8
M,1.5625,1.225,0.425,33.8776525,14.81261375,7.654365,8.9300925,11
M,1.525,1.175,0.3875,35.50774875,14.571643,8.51902475,9.355335,9
I,1.0,0.75,0.2375,9.752228,4.0539785,2.438057,2.83495,7
M,0.925,0.6875,0.2625,7.144074,2.76407625,1.587572,2.36718325,9
M,1.5875,1.25,0.4375,36.04638925,17.44911725,8.2497045,10.0073735,8
M,0.8375,0.6375,0.1875,5.2446575,2.26796,0.86465975,1.5025235,11
M,1.3,1.025,0.3,16.23008875,7.38504475,3.7704835,4.1106775,9
I,1.1125,0.825,0.25,12.65805175,5.896696,2.5231055,3.40194,8
F,1.4375,1.125,0.3125,24.79163775,12.8423235,5.11708475,6.23689,10
M,1.5125,1.175,0.4,27.14464625,12.0485375,5.3580555,6.6621325,9
F,1.1875,0.9,0.3,14.9968855,6.13766675,3.9405805,4.1106775,8
M,1.6125,1.3,0.4625,43.1762885,24.76328825,9.17106325,12.3320325,11
I,1.3125,0.9875,0.3375,17.95940825,8.46232575,4.43669675,4.9611625,7
F,1.6375,1.1375,0.4375,36.55668025,17.3215445,8.09378225,9.865626,12
F,1.6125,1.3,0.4375,38.03085425,18.2287285,8.34892775,11.41067375,9
M,1.4125,1.1375,0.375,26.7902775,12.37455675,5.91087075,7.087375,9
F,1.25,0.9875,0.3625,18.4555245,8.32057825,3.742134,6.9456275,12
I,1.025,0.775,0.2625,8.12213175,3.4869885,1.80019325,2.551455,8
F,1.525,1.175,0.4125,32.07745925,13.721158,7.9662095,7.5126175,12
M,1.625,1.1875,0.4375,34.5013415,15.87572,9.53960675,8.9300925,9
M,1.2875,1.0625,0.4875,26.54930675,11.169703,5.216308,8.1363065,17
I,1.45,1.1375,0.3625,23.94115275,11.3114505,4.6209685,7.5126175,12
I,0.925,0.675,0.2,5.88252125,2.25378525,1.09145575,1.984465,7
I,0.7,0.5,0.1625,2.87747425,1.1623295,0.850485,0.850485,5
I,0.725,0.525,0.175,3.6003865,1.474174,0.80796075,0.850485,7
F,1.5625,1.2,0.4625,34.06192425,16.726205,6.4353365,8.3631025,9
F,1.525,1.175,0.4125,28.81726675,12.3320325,6.56290925,9.2135875,10
F,1.7625,1.3625,0.4625,49.8667705,23.530085,10.7444605,13.2959155,11
M,1.5,1.175,0.375,28.066005,10.4042665,6.76135575,8.3631025,16
F,1.7125,1.2875,0.4125,43.21881275,19.674553,9.22776225,12.8990225,11
M,1.1875,0.85,0.3125,17.56251525,10.77281,4.06815325,4.53592,7
F,1.3,1.0625,0.3375,20.638436,7.314171,4.706017,7.2291225,12
I,0.7,0.5125,0.2,2.7499015,0.89300925,0.623689,0.850485,1
M,1.425,1.1125,0.3375,26.46425825,10.6310625,5.23048275,7.7394135,10
M,1.0375,0.825,0.325,11.38232425,4.7910655,2.25378525,4.1106775,9
M,1.2625,0.9375,0.3375,16.76872925,8.164656,3.72795925,5.2446575,8
M,0.75,0.575,0.175,2.7499015,1.03475675,0.80796075,0.9922325,6
M,1.45,1.1125,0.3,20.11397025,8.5898985,3.98310475,6.6621325,12
M,1.7375,1.3625,0.4375,44.21104525,20.68096025,10.602713,13.0691195,12
F,1.6625,1.2875,0.4125,38.88133925,16.42853525,8.83086925,10.5176645,13
M,1.5,1.125,0.4,29.18581025,9.63883,6.67630725,8.6465975,17
F,1.5,1.1625,0.4375,34.8415355,11.69416875,6.25106475,11.7650425,11
F,1.2875,1.0375,0.4375,21.21960075,7.10154975,3.92640575,7.37087,7
M,1.5625,1.2,0.4625,37.1094955,16.68368075,7.484268,9.00096625,11
M,1.3125,1.0,0.3,18.71067,7.7394135,4.12485225,5.2446575,13
M,1.55,1.225,0.4125,31.34037225,13.13999325,6.95980225,10.0640725,14
F,1.5375,1.1875,0.475,37.591437,15.989118,7.52679225,10.3475675,16
I,1.1125,0.875,0.3,11.49572225,4.94698775,2.67902775,3.35941575,6
F,1.0625,0.775,0.25,8.12213175,3.92640575,1.984465,2.9199985,7
I,1.1,0.8375,0.3125,10.73028575,4.18155125,2.36718325,3.2601925,8
M,1.2625,0.9625,0.2875,14.7700895,7.087375,2.721552,4.252425,8
M,1.525,1.2,0.4375,39.12231,17.690088,8.43397625,11.056305,16
F,1.2125,0.975,0.35,17.0380495,6.7188315,3.92640575,6.123492,10
F,1.4625,1.1375,0.375,29.10076175,11.509897,7.1724235,8.221355,9
I,1.3,1.0,0.3125,16.45688475,7.5126175,3.6570855,5.386405,8
F,1.45,1.15,0.425,28.19357775,13.210867,6.4920355,8.3631025,12
I,1.45,1.125,0.4125,29.44095575,11.736693,7.37087,8.50485,14
F,1.575,1.25,0.4375,34.9549335,18.824068,7.257472,9.128539,11
I,1.2125,0.9625,0.3125,18.0586315,8.34892775,3.89805625,4.819415,8
F,1.55,1.225,0.4625,41.8722115,17.0380495,9.42620875,12.3320325,11
I,1.025,0.7625,0.25,7.49844275,3.55786225,1.9561155,2.551455,7
F,1.1375,0.8875,0.3375,17.84601025,5.68407475,3.6003865,6.0951425,14
M,0.5875,0.4125,0.1375,1.54504775,0.58116475,0.41106775,0.56699,5
M,1.625,1.275,0.4625,41.7588135,20.2131935,8.1363065,11.26892625,9
M,1.425,1.125,0.4375,28.91649,11.113004,6.87475375,9.63883,14
F,1.3625,1.0375,0.375,21.6873675,9.99319875,4.8477645,6.6621325,11
I,1.4125,1.05,0.3375,23.133192,9.8939755,4.20990075,8.68912175,11
F,1.25,1.0125,0.325,25.0326085,9.45455825,4.6209685,8.561549,12
I,0.9375,0.725,0.25,7.21494775,3.061746,1.60174675,1.984465,7
M,1.5875,1.2625,0.4125,36.740952,16.85377775,8.29222875,9.355335,10
M,1.325,1.025,0.425,26.32251075,10.95708175,5.4714535,7.654365,12
F,1.55,1.25,0.4375,31.34037225,15.081934,7.0023265,10.829509,11
F,1.625,1.3125,0.475,38.11590275,14.13222575,8.4198015,11.056305,14
I,0.9875,0.7375,0.2375,7.087375,2.83495,1.63009625,2.4097075,14
I,0.9625,0.75,0.25,8.221355,3.92640575,1.7860185,2.3530085,6
I,1.0625,0.8125,0.275,10.53183925,4.46504625,2.33883375,2.9766975,7
F,1.575,1.2875,0.4375,37.194544,16.40018575,8.37727725,11.4815475,13
F,1.8375,1.5125,0.5375,72.234526,25.8830935,14.5432935,17.57669,20
M,1.4125,1.075,0.375,24.59319125,11.3398,4.32329875,6.4920355,8
F,1.25,0.95,0.3375,17.633389,7.52679225,4.1673765,5.046211,12
F,1.575,1.2,0.425,30.03629525,13.73533275,6.010094,9.39785925,14
M,1.4625,1.1875,0.375,24.720764,11.8784405,5.5848515,6.747181,10
F,1.5875,1.325,0.475,42.354153,15.762322,8.54737425,12.6155275,9
I,1.125,0.8375,0.225,9.19941275,3.95475525,1.814368,3.118445,7
M,1.625,1.3,0.475,42.354153,22.0275615,9.9506745,10.19164525,11
I,1.1,0.85,0.275,11.55242125,4.7343665,2.50893075,3.40194,8
I,0.9875,0.75,0.25,9.63883,4.3941725,2.33883375,2.551455,7
M,1.7125,1.325,0.4125,44.22522,18.3421265,10.8578585,13.1825175,12
F,1.6125,1.2125,0.375,33.40988575,14.401546,7.314171,9.7805775,9
I,1.1375,0.9125,0.275,12.71475075,4.5075705,2.42388225,3.40194,14
I,0.95,0.725,0.2625,11.509897,4.819415,2.2963095,2.551455,6
I,1.175,0.8875,0.3125,13.53688625,5.499803,3.18931875,3.8271825,7
F,1.725,1.375,0.4875,51.95045875,23.11901725,10.20582,13.891255,9
F,1.425,1.125,0.3625,24.6357155,10.75863525,5.2446575,6.80388,10
M,1.625,1.3125,0.3875,44.8772585,20.849303,10.6877615,10.886208,10
I,1.25,0.9625,0.375,21.602319,9.7805775,4.5642695,5.386405,9
M,1.5625,1.25,0.4875,38.51279575,17.61921425,9.31281075,10.61688775,11
I,1.025,0.85,0.25,10.41844125,4.32329875,1.88524175,3.40194,8
F,1.55,1.1375,0.3875,27.8675585,12.99824575,5.499803,7.04485075,11
I,1.225,0.9375,0.2875,12.927372,5.4147545,2.8066005,4.1106775,8
F,1.375,1.0875,0.4125,24.7491135,8.63242275,5.59902625,8.0796075,11
I,1.2375,0.95,0.3125,16.27902025,6.0951425,3.89805625,4.195726,8
I,1.1,0.7875,0.275,10.41844125,4.706017,2.324659,3.40194,7
F,1.2625,1.0,0.3,17.8885345,7.1724235,3.005047,5.5281525,8
M,1.4375,1.125,0.375,26.08154,10.5176645,6.010094,7.087375,8
F,1.4625,1.1,0.3625,26.09571475,11.49572225,5.23048275,7.654365,11
I,1.25,0.875,0.35,14.69921575,6.2652395,3.58621175,3.8271825,8
F,1.725,1.3125,0.425,44.55123925,17.81766075,10.44679075,12.47378,11
I,0.8375,0.625,0.2125,4.819415,1.871067,1.0489315,1.5592225,7
F,1.8625,1.4625,0.45,43.64405525,17.22232125,10.41844125,13.16834275,16
F,1.6875,1.325,0.4375,43.02036625,19.6462035,9.241937,11.12717875,11
F,1.5,1.1625,0.4625,30.674159,13.65028425,7.01650125,8.788345,11
F,1.425,1.1125,0.375,22.5378525,10.8011595,4.89028875,6.23689,9
I,1.1375,0.8625,0.275,12.74310025,6.78970525,2.5798045,3.5436875,7
M,1.6375,1.3,0.4125,39.859397,17.50581625,8.9300925,9.4970825,14
M,1.55,1.25,0.3875,34.529691,15.52135125,6.8322295,8.50485,10
F,1.7125,1.2625,0.475,41.4753185,18.0586315,7.7961125,11.623295,17
F,1.3125,1.0,0.3375,24.28134675,11.4815475,5.10291,5.046211,8
M,1.625,1.3375,0.4875,45.7277435,19.6462035,8.845044,14.01882775,13
M,1.55,1.2125,0.3875,32.36600125,13.9196045,6.4920355,8.788345,11
I,1.1125,0.8375,0.25,13.87708025,7.78193775,2.438057,3.13261975,8
F,1.65,1.3,0.4375,38.03085425,17.98775775,9.241937,11.056305,13
I,0.8875,0.675,0.2375,6.98815175,2.6365035,1.63009625,2.1262125,6
M,1.2875,1.0625,0.3375,20.184844,7.55514175,4.55009475,7.087375,11
M,1.325,1.05,0.35,19.17843675,9.355335,4.01145425,5.85417175,11
F,1.325,1.075,0.3625,23.00561925,7.37087,4.32329875,7.37087,11
M,1.3,0.95,0.3125,16.953001,7.27164675,4.139027,4.3941725,10
M,1.575,1.225,0.4375,33.89182725,13.947954,7.0023265,10.489315,15
M,1.625,1.275,0.4,35.62114675,14.5999925,8.83086925,10.61688775,15
M,1.4875,1.1875,0.35,27.08794725,13.5227115,7.314171,7.5126175,9
M,1.35,1.0375,0.2875,19.57532975,9.87980075,4.8477645,4.3941725,9
I,0.7875,0.575,0.175,3.67126025,1.60174675,0.77961125,1.13398,7
F,1.6375,1.3,0.425,39.81687275,17.0097,9.015141,9.17106325,10
M,1.475,1.0625,0.375,29.95124675,12.51630425,6.98815175,8.788345,9
M,1.775,1.425,0.4875,38.215126,26.705229,12.48795475,12.85649825,11
F,1.425,1.1125,0.4375,28.7180435,9.42620875,6.0384435,9.355335,12
M,0.5,0.3875,0.15,1.54504775,0.35436875,0.3118445,0.3118445,5
I,0.75,0.575,0.2,3.64291075,1.587572,1.13398,1.417475,6
M,1.7125,1.375,0.4625,47.513762,21.262125,10.70193625,13.891255,12
I,1.15,0.8625,0.275,11.6516445,4.97533725,2.26796,3.40194,8
I,0.55,0.3875,0.15,1.190679,0.49611625,0.35436875,0.4252425,4
I,0.475,0.325,0.1,1.06310625,0.43941725,0.18427175,0.283495,4
M,1.525,1.175,0.4125,29.72445075,13.8062065,6.406987,7.9095105,15
M,1.225,0.9125,0.325,17.7184375,8.1363065,4.4508715,6.0951425,8
I,1.4,1.0625,0.3375,23.26076475,10.53183925,5.2446575,6.690482,10
I,0.6375,0.4875,0.1375,2.76407625,1.0489315,0.56699,0.7087375,6
F,1.8,1.4,0.4875,45.71356875,19.03668925,8.29222875,12.54465375,11
I,1.3,1.025,0.3125,19.74542675,8.94426725,3.9405805,5.5281525,8
I,0.9,0.6625,0.2,6.13766675,2.721552,1.0489315,1.74349425,6
F,1.5875,1.275,0.4125,37.23706825,14.50076925,8.51902475,11.1980525,19
I,0.825,0.625,0.2125,5.3013565,2.7499015,1.13398,1.417475,6
F,1.6875,1.3,0.5125,40.63900825,16.48523425,10.999606,11.056305,13
I,0.45,0.325,0.1125,0.7654365,0.29766975,0.1417475,0.2551455,4
I,1.3,1.0,0.375,18.767369,8.32057825,3.84135725,5.953395,10
I,0.8875,0.7125,0.2375,7.95203475,2.79242575,1.80019325,2.1262125,6
M,1.475,1.1375,0.4125,32.16250775,12.82814875,7.2858215,8.6465975,9
I,1.2125,0.925,0.275,14.72756525,7.314171,2.87747425,4.12485225,6
I,0.925,0.7375,0.2375,7.144074,3.72795925,1.63009625,2.1262125,6
I,0.875,0.6625,0.2125,5.556502,2.33883375,1.06310625,1.70097,6
M,1.525,1.2,0.4125,31.808139,10.9712565,7.49844275,9.2135875,14
I,1.25,0.9875,0.3125,15.2236815,6.13766675,3.07592075,5.06038575,8
I,1.1,0.825,0.25,10.77281,4.60679375,2.4664065,2.9199985,8
F,1.575,1.225,0.3875,34.5013415,15.03940975,7.3992195,8.0796075,9
I,0.975,0.75,0.25,7.55514175,3.04757125,1.2757275,2.26796,7
F,1.6125,1.3125,0.4375,35.02580725,16.96717575,7.38504475,9.07184,11
M,1.475,1.2125,0.4,30.94347925,11.15552825,6.90310325,9.355335,19
M,1.575,1.2,0.375,31.581343,15.18115725,7.07320025,8.26387925,9
M,1.4125,1.125,0.3625,23.94115275,10.5743635,4.479221,7.2291225,11
M,1.6625,1.3375,0.4375,48.7327905,19.46193175,8.29222875,19.23513575,16
I,0.9,0.7375,0.2375,7.98038425,3.55786225,1.48834875,2.551455,7
M,0.8,0.6,0.1875,4.9611625,1.74349425,0.86465975,1.2757275,9
I,1.3125,0.9875,0.35,23.473386,15.4504775,5.54232725,6.9456275,10
F,1.575,1.2625,0.4375,36.55668025,16.839603,8.60407325,11.056305,10
M,1.6,1.275,0.375,39.859397,18.10115575,8.23552975,10.39009175,10
I,0.6875,0.5125,0.175,2.84912475,1.20485375,0.6520385,0.8788345,8
M,1.1625,0.875,0.2625,16.85377775,5.499803,3.10427025,5.2446575,10
M,1.5875,1.25,0.4125,36.4291075,16.96717575,7.540967,9.7805775,12
F,1.475,1.1875,0.4,27.499015,10.375917,6.22271525,7.2291225,10
M,1.4875,1.1875,0.4,31.22697425,11.226402,4.9611625,11.623295,19
F,1.425,1.15,0.4125,28.0943545,11.35397475,6.36446275,8.221355,12
I,0.925,0.6875,0.225,6.95980225,2.6365035,1.14815475,1.8427175,6
I,1.35,1.0625,0.3625,22.92057075,8.32057825,4.479221,6.23689,14
F,1.6375,1.3125,0.4375,45.91201525,19.77377625,10.77281,10.77281,13
I,1.4,1.075,0.325,20.51086325,9.96484925,4.2240755,5.6699,8
M,1.4375,1.125,0.3625,26.01066625,10.432616,5.8683465,8.3631025,11
I,1.375,1.05,0.35,21.1203775,10.24834425,5.45727875,4.9611625,7
I,0.9,0.6625,0.2125,6.53455975,2.83495,1.48834875,1.871067,6
I,0.5875,0.4375,0.15,1.74349425,0.77961125,0.35436875,0.56699,5
I,0.625,0.45,0.2125,2.0128145,0.8788345,0.29766975,0.60951425,5
I,1.1625,0.9125,0.3125,13.90542975,5.57067675,2.721552,5.00368675,9
I,1.275,0.9875,0.35,16.45688475,6.917278,3.78465825,5.329706,10
I,1.3125,0.9875,0.3,17.7751365,8.164656,3.72795925,4.1106775,8
F,1.6,1.225,0.3375,33.5374585,17.61921425,8.2497045,7.5126175,9
I,1.125,0.85,0.325,10.53183925,4.55009475,2.22543575,2.9766975,7
I,0.8375,0.6,0.1875,5.71242425,2.56562975,0.86465975,1.417475,6
F,1.3,1.0375,0.3375,18.27125275,6.917278,4.2240755,5.953395,14
I,1.3375,1.05,0.2875,19.3627085,8.0229085,4.06815325,5.499803,8
I,0.925,0.7,0.25,7.10154975,3.005047,1.51669825,2.1262125,9
F,1.2375,0.95,0.3125,16.85377775,7.654365,3.58621175,5.2446575,8
